index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm3,0.0,0.174,0.174,0.0
1,task-1,vm3,0.174,0.1307,0.30469999999999997,0.174
1,task-1,vm3,0.30469999999999997,0.1298,0.4345,0.30469999999999997
1,task-1,vm3,0.4345,0.1238,0.5583,0.4345
1,task-1,vm4,0.0,0.0916,0.0916,0.0
2,task-2,vm3,0.5583,0.4949,1.0532,0.5583
2,task-2,vm4,0.0916,0.2804,0.372,0.0916
2,task-2,vm4,0.372,0.3002,0.6722,0.372
2,task-2,vm2,0.0,0.9187,0.9187,0.0
2,task-2,vm4,0.6722,0.2533,0.9255,0.6722
3,task-3,vm2,0.9187,2.0028,2.9215,0.9187
3,task-3,vm3,1.0532,1.0969,2.1501,1.0532
3,task-3,vm4,0.9255,0.5509,1.4764,0.9255
3,task-3,vm3,2.1501,1.0207,3.1708,2.1501
3,task-3,vm2,2.9215,2.1017,5.0232,2.9215
3,task-3,vm3,3.1708,1.0247,4.1955,3.1708
4,task-4,vm3,4.1955,1.9492,6.1447,4.1955
4,task-4,vm2,5.0232,3.6326,8.6558,5.0232
4,task-4,vm3,6.1447,1.8172,7.9619,6.1447
4,task-4,vm3,7.9619,1.8085,9.7704,7.9619
4,task-4,vm3,9.7704,1.8223,11.5927,9.7704
4,task-4,vm4,1.4764,0.9543,2.4307,1.4764
5,task-5,vm4,2.4307,1.5547,3.9854,2.4307
5,task-5,vm4,3.9854,1.5058,5.4912,3.9854
5,task-5,vm4,5.4912,1.5017,6.992900000000001,5.4912
5,task-5,vm4,6.992900000000001,1.4914,8.484300000000001,6.992900000000001
5,task-5,vm1,0.0,26.1338,26.1338,0.0
6,task-6,vm2,8.6558,8.1369,16.7927,8.6558
6,task-6,vm2,16.7927,7.9555,24.7482,16.7927
6,task-6,vm2,24.7482,8.0664,32.8146,24.7482
6,task-6,vm2,32.8146,8.2266,41.041199999999996,32.8146
6,task-6,vm4,8.484300000000001,2.1515,10.635800000000001,8.484300000000001
7,task-7,vm4,10.635800000000001,2.957,13.5928,10.635800000000001
7,task-7,vm2,41.041199999999996,11.1317,52.1729,41.041199999999996
7,task-7,vm4,13.5928,2.9311,16.5239,13.5928
7,task-7,vm3,11.5927,5.5414,17.1341,11.5927
8,task-8,vm3,17.1341,7.6172,24.7513,17.1341
8,task-8,vm3,24.7513,7.2209,31.9722,24.7513
8,task-8,vm4,16.5239,3.7984,20.322300000000002,16.5239
8,task-8,vm4,20.322300000000002,3.7797,24.102000000000004,20.322300000000002
9,task-9,vm4,24.102000000000004,4.7882,28.890200000000004,24.102000000000004
9,task-9,vm3,31.9722,9.7412,41.7134,31.9722
9,task-9,vm4,28.890200000000004,4.748,33.638200000000005,28.890200000000004
9,task-9,vm4,33.638200000000005,4.7658,38.404,33.638200000000005
9,task-9,vm4,38.404,4.7552,43.159200000000006,38.404
10,task-10,vm3,41.7134,11.8719,53.585300000000004,41.7134
10,task-10,vm4,43.159200000000006,5.9942,49.153400000000005,43.159200000000006
10,task-10,vm4,49.153400000000005,5.9646,55.118,49.153400000000005
