index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm2,0.0,0.2421,0.2421,0.0
1,task-1,vm1,0.0,0.9251,0.9251,0.0
1,task-1,vm4,0.0,0.0795,0.0795,0.0
1,task-1,vm2,0.2421,0.2343,0.47640000000000005,0.2421
1,task-1,vm3,0.0,0.1231,0.1231,0.0
2,task-2,vm4,0.0795,0.2754,0.3549,0.0795
2,task-2,vm3,0.1231,0.491,0.6141,0.1231
2,task-2,vm3,0.6141,0.4634,1.0775,0.6141
2,task-2,vm3,1.0775,0.4655,1.543,1.0775
2,task-2,vm3,1.543,0.4568,1.9998,1.543
3,task-3,vm4,0.3549,0.5603,0.9152,0.3549
3,task-3,vm2,0.47640000000000005,2.0448,2.5212,0.47640000000000005
3,task-3,vm4,0.9152,0.5482,1.4634,0.9152
3,task-3,vm4,1.4634,0.553,2.0164,1.4634
3,task-3,vm3,1.9998,1.022,3.0218,1.9998
3,task-3,vm4,2.0164,0.5444,2.5608,2.0164
4,task-4,vm4,2.5608,0.994,3.5548,2.5608
4,task-4,vm4,3.5548,0.9791,4.5339,3.5548
4,task-4,vm3,3.0218,1.7877,4.8095,3.0218
4,task-4,vm4,4.5339,0.9481,5.482,4.5339
4,task-4,vm4,5.482,0.9455,6.4275,5.482
4,task-4,vm4,6.4275,0.9621,7.3896,6.4275
5,task-5,vm3,4.8095,3.0476,7.8571,4.8095
5,task-5,vm3,7.8571,3.0236,10.880700000000001,7.8571
5,task-5,vm3,10.880700000000001,3.0086,13.8893,10.880700000000001
5,task-5,vm4,7.3896,1.4717,8.8613,7.3896
5,task-5,vm4,8.8613,1.4987,10.36,8.8613
6,task-6,vm3,13.8893,4.3917,18.281,13.8893
6,task-6,vm4,10.36,2.1529,12.512899999999998,10.36
6,task-6,vm3,18.281,4.309,22.59,18.281
6,task-6,vm3,22.59,3.9363,26.5263,22.59
6,task-6,vm1,0.9251,14.6958,15.6209,0.9251
6,task-6,vm2,2.5212,8.043,10.5642,2.5212
7,task-7,vm2,10.5642,11.0998,21.664,10.5642
7,task-7,vm4,12.512899999999998,2.9085,15.421399999999998,12.512899999999998
7,task-7,vm2,21.664,11.0213,32.6853,21.664
7,task-7,vm2,32.6853,10.9725,43.657799999999995,32.6853
7,task-7,vm3,26.5263,5.3696,31.895899999999997,26.5263
8,task-8,vm3,31.895899999999997,7.3365,39.2324,31.895899999999997
8,task-8,vm3,39.2324,7.6816,46.914,39.2324
8,task-8,vm3,46.914,7.0977,54.011700000000005,46.914
8,task-8,vm4,15.421399999999998,3.7446,19.165999999999997,15.421399999999998
9,task-9,vm4,19.165999999999997,4.7804,23.946399999999997,19.165999999999997
9,task-9,vm4,23.946399999999997,4.7311,28.677499999999995,23.946399999999997
9,task-9,vm4,28.677499999999995,4.7939,33.471399999999996,28.677499999999995
9,task-9,vm4,33.471399999999996,4.8381,38.30949999999999,33.471399999999996
10,task-10,vm4,38.30949999999999,5.9443,44.25379999999999,38.30949999999999
10,task-10,vm4,44.25379999999999,5.8756,50.12939999999999,44.25379999999999
10,task-10,vm4,50.12939999999999,5.8815,56.01089999999999,50.12939999999999
