index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm2,0.0,0.2294,0.2294,0.0
1,task-1,vm4,0.0,0.0831,0.0831,0.0
1,task-1,vm4,0.0831,0.0841,0.1672,0.0831
1,task-1,vm3,0.0,0.1307,0.1307,0.0
1,task-1,vm2,0.2294,0.2331,0.4625,0.2294
2,task-2,vm2,0.4625,0.912,1.3745,0.4625
2,task-2,vm3,0.1307,0.4499,0.5806,0.1307
2,task-2,vm3,0.5806,0.4747,1.0553,0.5806
2,task-2,vm3,1.0553,0.4613,1.5166,1.0553
2,task-2,vm2,1.3745,0.9062,2.2807,1.3745
3,task-3,vm2,2.2807,2.0287,4.3094,2.2807
3,task-3,vm4,0.1672,0.549,0.7162000000000001,0.1672
3,task-3,vm4,0.7162000000000001,0.5575,1.2737,0.7162000000000001
3,task-3,vm4,1.2737,0.5827,1.8564,1.2737
3,task-3,vm3,1.5166,1.0018,2.5183999999999997,1.5166
3,task-3,vm4,1.8564,0.5494,2.4058,1.8564
4,task-4,vm4,2.4058,0.9506,3.3564000000000003,2.4058
4,task-4,vm1,0.0,14.9052,14.9052,0.0
4,task-4,vm4,3.3564000000000003,0.9585,4.314900000000001,3.3564000000000003
4,task-4,vm4,4.314900000000001,0.9724,5.287300000000001,4.314900000000001
4,task-4,vm3,2.5183999999999997,1.7895,4.3079,2.5183999999999997
4,task-4,vm3,4.3079,1.8108,6.1187000000000005,4.3079
5,task-5,vm4,5.287300000000001,1.5087,6.796000000000001,5.287300000000001
5,task-5,vm3,6.1187000000000005,2.7739,8.8926,6.1187000000000005
5,task-5,vm4,6.796000000000001,1.4785,8.274500000000002,6.796000000000001
5,task-5,vm2,4.3094,5.5639,9.8733,4.3094
5,task-5,vm3,8.8926,2.801,11.6936,8.8926
6,task-6,vm2,9.8733,8.0409,17.9142,9.8733
6,task-6,vm4,8.274500000000002,2.2186,10.493100000000002,8.274500000000002
6,task-6,vm4,10.493100000000002,2.1484,12.641500000000002,10.493100000000002
6,task-6,vm4,12.641500000000002,2.1311,14.772600000000002,12.641500000000002
6,task-6,vm1,14.9052,27.556,42.461200000000005,14.9052
6,task-6,vm4,14.772600000000002,2.1358,16.908400000000004,14.772600000000002
7,task-7,vm4,16.908400000000004,2.9504,19.858800000000002,16.908400000000004
7,task-7,vm3,11.6936,5.46,17.1536,11.6936
7,task-7,vm4,19.858800000000002,2.882,22.740800000000004,19.858800000000002
7,task-7,vm4,22.740800000000004,2.8649,25.605700000000002,22.740800000000004
7,task-7,vm3,17.1536,5.4416,22.595200000000002,17.1536
8,task-8,vm4,25.605700000000002,3.9361,29.541800000000002,25.605700000000002
8,task-8,vm2,17.9142,14.3676,32.281800000000004,17.9142
8,task-8,vm4,29.541800000000002,3.7385,33.280300000000004,29.541800000000002
8,task-8,vm1,42.461200000000005,30.5779,73.0391,42.461200000000005
9,task-9,vm3,22.595200000000002,9.0514,31.6466,22.595200000000002
9,task-9,vm4,33.280300000000004,4.7533,38.03360000000001,33.280300000000004
9,task-9,vm4,38.03360000000001,4.8214,42.855000000000004,38.03360000000001
9,task-9,vm3,31.6466,8.9212,40.5678,31.6466
9,task-9,vm2,32.281800000000004,18.0132,50.295,32.281800000000004
10,task-10,vm3,40.5678,11.0696,51.6374,40.5678
10,task-10,vm4,42.855000000000004,5.8817,48.736700000000006,42.855000000000004
10,task-10,vm4,48.736700000000006,5.8481,54.58480000000001,48.736700000000006
