index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm2,0.0,0.2267,0.2267,0.0
1,task-1,vm3,0.0,0.1222,0.1222,0.0
2,task-2,vm2,0.2267,0.8846,1.1113,0.2267
2,task-2,vm3,0.1222,0.4464,0.5686,0.1222
3,task-3,vm3,0.5686,0.9794,1.548,0.5686
3,task-3,vm3,1.548,0.969,2.517,1.548
4,task-4,vm3,2.517,1.7713,4.2883,2.517
4,task-4,vm2,1.1113,3.477,4.5883,1.1113
5,task-5,vm1,0.0,11.6695,11.6695,0.0
5,task-5,vm3,4.2883,2.7232,7.0115,4.2883
6,task-6,vm3,7.0115,3.9776,10.9891,7.0115
6,task-6,vm2,4.5883,7.763,12.3513,4.5883
7,task-7,vm3,10.9891,5.2443,16.2334,10.9891
7,task-7,vm2,12.3513,10.9361,23.287399999999998,12.3513
8,task-8,vm3,16.2334,6.9361,23.1695,16.2334
8,task-8,vm4,0.0,3.8112,3.8112,0.0
9,task-9,vm4,3.8112,4.9291,8.7403,3.8112
9,task-9,vm4,8.7403,4.811,13.5513,8.7403
10,task-10,vm4,13.5513,5.89,19.4413,13.5513
10,task-10,vm4,19.4413,5.9186,25.359899999999996,19.4413
