index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm4,0.0,0.0978,0.0978,0.0
1,task-1,vm1,0.0,0.5919,0.5919,0.0
2,task-2,vm4,0.0978,0.2647,0.3625,0.0978
2,task-2,vm2,0.0,1.0313,1.0313,0.0
3,task-3,vm3,0.0,0.9923,0.9923,0.0
3,task-3,vm3,0.9923,0.9954,1.9876999999999998,0.9923
4,task-4,vm4,0.3625,0.9734,1.3359,0.3625
4,task-4,vm3,1.9876999999999998,1.7646,3.7523,1.9876999999999998
5,task-5,vm3,3.7523,2.8777,6.63,3.7523
5,task-5,vm4,1.3359,1.501,2.8369,1.3359
6,task-6,vm4,2.8369,2.1745,5.0114,2.8369
6,task-6,vm1,0.5919,16.7076,17.2995,0.5919
7,task-7,vm4,5.0114,2.9471,7.9585,5.0114
7,task-7,vm3,6.63,5.3213,11.9513,6.63
8,task-8,vm4,7.9585,3.8177,11.7762,7.9585
8,task-8,vm4,11.7762,3.8411,15.6173,11.7762
9,task-9,vm4,15.6173,4.7908,20.4081,15.6173
9,task-9,vm4,20.4081,4.8025,25.2106,20.4081
10,task-10,vm3,11.9513,11.0707,23.022,11.9513
10,task-10,vm2,1.0313,23.8676,24.8989,1.0313
