index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm2,0.0,0.2368,0.2368,0.0
1,task-1,vm4,0.0,0.0954,0.0954,0.0
1,task-1,vm3,0.0,0.1334,0.1334,0.0
1,task-1,vm2,0.2368,0.2349,0.4717,0.2368
1,task-1,vm2,0.4717,0.244,0.7157,0.4717
2,task-2,vm2,0.7157,0.9483,1.6640000000000001,0.7157
2,task-2,vm4,0.0954,0.2627,0.3581,0.0954
2,task-2,vm2,1.6640000000000001,0.923,2.587,1.6640000000000001
2,task-2,vm3,0.1334,0.4664,0.5998,0.1334
2,task-2,vm3,0.5998,0.4754,1.0752,0.5998
3,task-3,vm4,0.3581,0.5702,0.9283,0.3581
3,task-3,vm3,1.0752,1.1006,2.1757999999999997,1.0752
3,task-3,vm2,2.587,2.0559,4.6429,2.587
3,task-3,vm1,0.0,3.6228,3.6228,0.0
3,task-3,vm3,2.1757999999999997,1.0238,3.1995999999999998,2.1757999999999997
3,task-3,vm2,4.6429,2.1028,6.745699999999999,4.6429
4,task-4,vm4,0.9283,0.9784,1.9067,0.9283
4,task-4,vm4,1.9067,0.9717,2.8784,1.9067
4,task-4,vm4,2.8784,0.968,3.8464,2.8784
4,task-4,vm2,6.745699999999999,3.606,10.3517,6.745699999999999
4,task-4,vm3,3.1995999999999998,1.8171,5.0167,3.1995999999999998
4,task-4,vm4,3.8464,0.9639,4.8103,3.8464
5,task-5,vm4,4.8103,1.5104,6.3206999999999995,4.8103
5,task-5,vm4,6.3206999999999995,1.5547,7.875399999999999,6.3206999999999995
5,task-5,vm1,3.6228,10.3612,13.984,3.6228
5,task-5,vm2,10.3517,5.6851,16.0368,10.3517
5,task-5,vm2,16.0368,5.7075,21.7443,16.0368
6,task-6,vm4,7.875399999999999,2.1683,10.0437,7.875399999999999
6,task-6,vm4,10.0437,2.1502,12.1939,10.0437
6,task-6,vm2,21.7443,8.2167,29.961,21.7443
6,task-6,vm3,5.0167,4.093,9.1097,5.0167
6,task-6,vm3,9.1097,4.0946,13.2043,9.1097
7,task-7,vm3,13.2043,5.9812,19.1855,13.2043
7,task-7,vm4,12.1939,2.8889,15.082799999999999,12.1939
7,task-7,vm4,15.082799999999999,2.8917,17.9745,15.082799999999999
7,task-7,vm3,19.1855,5.5185,24.704,19.1855
7,task-7,vm2,29.961,11.2405,41.201499999999996,29.961
8,task-8,vm3,24.704,7.8009,32.5049,24.704
8,task-8,vm3,32.5049,7.2446,39.7495,32.5049
8,task-8,vm4,17.9745,3.7835,21.758,17.9745
8,task-8,vm4,21.758,3.7663,25.5243,21.758
9,task-9,vm3,39.7495,9.1702,48.9197,39.7495
9,task-9,vm3,48.9197,9.078,57.997699999999995,48.9197
9,task-9,vm2,41.201499999999996,18.4957,59.697199999999995,41.201499999999996
9,task-9,vm3,57.997699999999995,9.187,67.18469999999999,57.997699999999995
9,task-9,vm2,59.697199999999995,18.5749,78.2721,59.697199999999995
10,task-10,vm3,67.18469999999999,11.3482,78.5329,67.18469999999999
10,task-10,vm4,25.5243,5.8733,31.3976,25.5243
